	Vibrio_ASV1	Halomonas_ASV1	Vibrio_ASV2	Psychrobium_ASV1	Pseudoalteromonas_ASV1	Vibrio_ASV3	Ruegeria_ASV1	Halodesulfovibrio_ASV1	Vibrio_ASV4	Thalassobius_ASV1	Endozoicomonas_ASV1	Nautella_ASV1	Photobacterium_ASV1	Pseudoalteromonas_ASV2	Endozoicomonas_ASV2	Roseibacillus_ASV1	Halomonas_ASV2	Endozoicomonas_ASV3	Renibacterium_ASV1	Enhydrobacter_ASV1
BS2-2474-DD-A	0.019482974	0.006630027	0.02925354	0	0	0.012125971	0.056849574	0.007764111	0.0193085	0	0.001890139	0	0.030387624	0	0.006368315	0	0.002733432	0.003489488	0.000407107	0.000290791
BS2-2474-HD-A	0	0	0	0	0.015108593	0	0.014164306	0	0.027384325	0	0.074598678	0.072710104	0.033050047	0	0	0.066100094	0.017941454	0.233238905	0.099150142	0
BS2-2482-DD-A	0.005139531	0.001028946	0.030743647	0.356207452	0.000244245	0.020901107	0.000462506	0.000135114	0.000509276	0.013792028	0.000727537	0.006532245	0.002972509	0.000410539	0.000363769	0	0.000410539	0.000223458	0.000322195	0
BS2-2482-HD-A	0.16465093	0.003002753	0.12845108	0	0.075652682	0.128284261	0.002752523	0.002168655	0	0	0.005087997	0.001584786	0.022854283	0.011510551	0.005588456	0	0.003753441	0	0	0.000417049
BS2-2483-HD-A	0	0	0.069852941	0	0	0.055147059	0	0.055147059	0.073529412	0	0	0	0	0	0.023897059	0.036764706	0	0	0.125	0
BS2-1566-DD-O	0.024332344	0.056617211	0.014005935	0.001186944	0.00925816	0.020534125	0.006646884	0	0	0	0.00189911	0	0.03347181	0.011750742	0	0	0.051869436	0	0	0
BS2-1566-HD-O	0	0.679501699	0	0	0.056876809	0	0.019252548	0	0	0	0.001069586	0	0	0.090851894	0	0	0	0	0	0
BS2-1689-DD-O	0.015700483	0.004763822	0.008454106	0	0	0.038311863	0.006910896	0	0	0	0.003488996	0	0.683306495	0.016371444	0	0	0	0	0.010936661	0
BS2-1689-HD-O	0	0.556103576	0	0	0	0	0	0	0	0	0	0	0	0.155363748	0	0	0.066584464	0	0.061652281	0
BS2-1842-DD-O	0	0.02335864	0.011345009	0.121624536	0.039664395	0.01637046	0.004874472	0	0	0.001725477	0.000927444	0.004486239	0.005996031	0.024803727	0.004723492	0	0.001747045	0.001768614	0.001056854	0.023552756
BS2-1842-HD-O	0	0.148387097	0	0.249131514	0.145409429	0	0	0	0	0	0.006947891	0	0	0.027295285	0	0	0	0	0.192059553	0
BS2-1925-DD-O	0.078878177	0.225679229	0.056091148	0	0.065731814	0.042944785	0	0	0	0	0	0	0.007887818	0.023663453	0.004820333	0	0	0	0.02716915	0.000876424
BS2-1925-HD-O	0	0.001114413	0.16679049	0	0	0	0	0	0.132986627	0	0	0	0	0	0.069093611	0	0	0	0.232169391	0
