	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV672	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	
ASV673	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	
ASV674	Bacteria	Acidobacteriota	Subgroup 26	Subgroup 26	Subgroup 26	Subgroup 26	
ASV675	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
ASV676	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	
ASV677	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	
ASV678	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
ASV679	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536	Ga0077536	
ASV680	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	
ASV681	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	
ASV682	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
ASV683	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Anderseniella	
ASV684	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
ASV685	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
ASV686	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	
ASV687	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
ASV688	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	
ASV689	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	
ASV690	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
ASV691	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales	Micavibrionales	
ASV692	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	
ASV693	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	
ASV694	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	
ASV695	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	
ASV696	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	
ASV697	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	Phormidium ETS-05	
ASV698	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	
ASV699	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	
ASV700	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	
ASV701	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla SI04-45	
ASV702	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	
ASV703	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	
ASV704	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
ASV705	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	
ASV706	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens	
ASV707	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	JGI 0000069-P22	JGI 0000069-P22	
ASV708	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae	
ASV709	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	
ASV710	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	
ASV711	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
ASV712	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	
ASV713	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	
ASV714	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales	Defluviicoccales	
ASV715	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	JTB215	
ASV716	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporiaceae	
ASV717	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
ASV718	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Candidatus Fritschea	
ASV719	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcinaceae	
ASV720	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	
ASV721	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	
ASV722	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	
ASV723	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae	
ASV724	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	
ASV725	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	
ASV726	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	
ASV727	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
ASV728	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	
ASV729	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	
ASV730	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	
ASV731	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	
ASV732	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	
ASV733	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Caldora VP642b	
ASV734	Bacteria	Modulibacteria	Moduliflexia	Moduliflexales	Moduliflexaceae	Moduliflexaceae	
ASV735	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Cystobacter	
ASV736	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011	
ASV737	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	
ASV738	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	
ASV739	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	
ASV740	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
ASV741	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Amoebophilaceae	
ASV742	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
ASV743	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia	
ASV744	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	
ASV745	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	
ASV746	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermaceae	
ASV747	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	
ASV748	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	
ASV749	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	
ASV750	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloligellaceae	
ASV751	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
ASV752	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	
ASV753	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacteraceae	
ASV754	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
ASV755	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	
ASV756	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales	Bacillales	
